"FIPS","Year","Group","Value","MOE"
"0901559980","2011-2015","Total Living with One Parent",985,311.892609723283
"0901559980","2011-2015","Total Living with One Parent, Not in Work Force",167,122.024587686253
"0901559980","2011-2015","Total Living with Two Parents",2050,350.907395191381
"0901559980","2011-2015","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0901561030","2011-2015","Total Children",1023,168
"0901561030","2011-2015","Total Living with One Parent",183,128.082004981184
"0901561030","2011-2015","Total Living with One Parent, Not in Work Force",0,24
"0901561030","2011-2015","Total Living with Two Parents",840,212.492352803577
"0901561030","2011-2015","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901562710","2011-2015","Total Children",1922,320
"0901562710","2011-2015","Total Living with One Parent",1062,352.4343910574
"0901562710","2011-2015","Total Living with One Parent, Not in Work Force",0,34
"0901562710","2011-2015","Total Living with Two Parents",860,272.567422851668
"0901562710","2011-2015","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0901567400","2011-2015","Total Children",363,75
"0901567400","2011-2015","Total Living with One Parent",80,35.4682957019364
"0901567400","2011-2015","Total Living with One Parent, Not in Work Force",0,24
"0901567400","2011-2015","Total Living with Two Parents",283,79.3095202355934
"0901567400","2011-2015","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901573420","2011-2015","Total Children",968,177
"0901573420","2011-2015","Total Living with One Parent",296,122.331516789419
"0901573420","2011-2015","Total Living with One Parent, Not in Work Force",29,41.569219381653
"0901573420","2011-2015","Total Living with Two Parents",672,177.341478509682
"0901573420","2011-2015","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0901575870","2011-2015","Total Children",1710,201
"0901575870","2011-2015","Total Living with One Parent",503,166.715326230074
"0901575870","2011-2015","Total Living with One Parent, Not in Work Force",18,42.7551166528639
"0901575870","2011-2015","Total Living with Two Parents",1207,218.826415224488
"0901575870","2011-2015","Total Living with Two Parents, Neither in Work Force",5,19.2353840616713
"0901586790","2011-2015","Total Children",4428,344
"0901586790","2011-2015","Total Living with One Parent",2844,387.640297182839
"0901586790","2011-2015","Total Living with One Parent, Not in Work Force",446,188.621313747943
"0901586790","2011-2015","Total Living with Two Parents",1584,316.840653957159
"0901586790","2011-2015","Total Living with Two Parents, Neither in Work Force",125,108.046286377645
"0901588190","2011-2015","Total Children",1686,167
"0901588190","2011-2015","Total Living with One Parent",291,145
"0901588190","2011-2015","Total Living with One Parent, Not in Work Force",90,88.2156448709638
"0901588190","2011-2015","Total Living with Two Parents",1395,227.853022801981
"0901588190","2011-2015","Total Living with Two Parents, Neither in Work Force",13,27.8028775489157
"09","2012-2016","Total Children",744560,1389
"09","2012-2016","Total Living with One Parent",241942,4063.46551603431
"09","2012-2016","Total Living with One Parent, Not in Work Force",36432,1769.68076217153
"09","2012-2016","Total Living with Two Parents",502618,3944.360150899
"09","2012-2016","Total Living with Two Parents, Neither in Work Force",5819,720.69410986909
"0900104720","2012-2016","Total Children",4097,256
"0900104720","2012-2016","Total Living with One Parent",869,228.641641001809
"0900104720","2012-2016","Total Living with One Parent, Not in Work Force",130,98.1223725762886
"0900104720","2012-2016","Total Living with Two Parents",3228,315.063485665985
"0900104720","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900108070","2012-2016","Total Children",33495,960
"0900108070","2012-2016","Total Living with One Parent",19019,975.294827218929
"0900108070","2012-2016","Total Living with One Parent, Not in Work Force",2691,438.776708588776
"0900108070","2012-2016","Total Living with Two Parents",14476,924.429553833065
"0900108070","2012-2016","Total Living with Two Parents, Neither in Work Force",261,146.860478005487
"0900108980","2012-2016","Total Children",4051,318
"0900108980","2012-2016","Total Living with One Parent",610,228.667881435063
"0900108980","2012-2016","Total Living with One Parent, Not in Work Force",13,38.5097390279394
"0900108980","2012-2016","Total Living with Two Parents",3441,326.73536692559
"0900108980","2012-2016","Total Living with Two Parents, Neither in Work Force",36,38.9486841883009
"0900118500","2012-2016","Total Children",16954,818
"0900118500","2012-2016","Total Living with One Parent",6072,748.131004570723
"0900118500","2012-2016","Total Living with One Parent, Not in Work Force",576,259.82109229237
"0900118500","2012-2016","Total Living with Two Parents",10882,863.400833912036
"0900118500","2012-2016","Total Living with Two Parents, Neither in Work Force",93,77.6659513557904
"0900118850","2012-2016","Total Children",7064,272
"0900118850","2012-2016","Total Living with One Parent",584,204.714435250668
"0900118850","2012-2016","Total Living with One Parent, Not in Work Force",113,90.0499861188218
"0900118850","2012-2016","Total Living with Two Parents",6480,396.807257998137
"0900118850","2012-2016","Total Living with Two Parents, Neither in Work Force",102,99.4635611668917
"0900123890","2012-2016","Total Children",1745,180
"0900123890","2012-2016","Total Living with One Parent",288,125.299640861417
"0900123890","2012-2016","Total Living with One Parent, Not in Work Force",43,53.2447180478965
"0900123890","2012-2016","Total Living with Two Parents",1457,195.685972926012
"0900123890","2012-2016","Total Living with Two Parents, Neither in Work Force",12,25.4950975679639
"0900126620","2012-2016","Total Children",14714,338
"0900126620","2012-2016","Total Living with One Parent",1760,273.30020124398
"0900126620","2012-2016","Total Living with One Parent, Not in Work Force",262,120.851148112047
"0900126620","2012-2016","Total Living with Two Parents",12954,579.644718771766
"0900126620","2012-2016","Total Living with Two Parents, Neither in Work Force",84,78.1856764375675
"0900133620","2012-2016","Total Children",15589,568
"0900133620","2012-2016","Total Living with One Parent",2236,324.992307601272
"0900133620","2012-2016","Total Living with One Parent, Not in Work Force",392,155.579561639696
"0900133620","2012-2016","Total Living with Two Parents",13353,643.958073169364
"0900133620","2012-2016","Total Living with Two Parents, Neither in Work Force",244,103.368273662667
"0900148620","2012-2016","Total Children",4988,257
"0900148620","2012-2016","Total Living with One Parent",910,310.644491340181
"0900148620","2012-2016","Total Living with One Parent, Not in Work Force",120,112.481109525111
"0900148620","2012-2016","Total Living with Two Parents",4078,454.605323330029
"0900148620","2012-2016","Total Living with Two Parents, Neither in Work Force",27,46.0977222864644
"0900150580","2012-2016","Total Children",6171,284
"0900150580","2012-2016","Total Living with One Parent",636,223.825825140889
"0900150580","2012-2016","Total Living with One Parent, Not in Work Force",156,118.734999052512
"0900150580","2012-2016","Total Living with Two Parents",5535,424.400754004985
"0900150580","2012-2016","Total Living with Two Parents, Neither in Work Force",214,139.978569788379
"0900150860","2012-2016","Total Children",3245,150
"0900150860","2012-2016","Total Living with One Parent",546,198.829072320926
"0900150860","2012-2016","Total Living with One Parent, Not in Work Force",17,32.832910318764
"0900150860","2012-2016","Total Living with Two Parents",2699,261.879743393795
"0900150860","2012-2016","Total Living with Two Parents, Neither in Work Force",140,176.028406798448
"0900152980","2012-2016","Total Children",6972,285
"0900152980","2012-2016","Total Living with One Parent",1151,259.326049597799
"0900152980","2012-2016","Total Living with One Parent, Not in Work Force",170,121.72920767014
"0900152980","2012-2016","Total Living with Two Parents",5821,387.113678394345
"0900152980","2012-2016","Total Living with Two Parents, Neither in Work Force",41,47.4130783645188
"0900156060","2012-2016","Total Children",17417,737
"0900156060","2012-2016","Total Living with One Parent",5423,683.163962749793
"0900156060","2012-2016","Total Living with One Parent, Not in Work Force",573,197.732142050806
"0900156060","2012-2016","Total Living with Two Parents",11994,760.820609605182
"0900156060","2012-2016","Total Living with Two Parents, Neither in Work Force",71,76.3216876123687
"0900163480","2012-2016","Total Children",2114,182
"0900163480","2012-2016","Total Living with One Parent",199,103.4456378974
"0900163480","2012-2016","Total Living with One Parent, Not in Work Force",34,58.025856305616
"0900163480","2012-2016","Total Living with Two Parents",1915,221.515236496274
"0900163480","2012-2016","Total Living with Two Parents, Neither in Work Force",25,28.6530975637888
"0900163970","2012-2016","Total Children",7303,316
"0900163970","2012-2016","Total Living with One Parent",1012,269.312086620709
"0900163970","2012-2016","Total Living with One Parent, Not in Work Force",89,64.7147587494537
"0900163970","2012-2016","Total Living with Two Parents",6291,465.10428938035
"0900163970","2012-2016","Total Living with Two Parents, Neither in Work Force",108,108.15729286553
"0900168170","2012-2016","Total Children",7465,342
"0900168170","2012-2016","Total Living with One Parent",1863,333.793349244709
"0900168170","2012-2016","Total Living with One Parent, Not in Work Force",298,140.089257261219
"0900168170","2012-2016","Total Living with Two Parents",5602,473.11415113057
"0900168170","2012-2016","Total Living with Two Parents, Neither in Work Force",53,65
"0900168310","2012-2016","Total Children",735,93
"0900168310","2012-2016","Total Living with One Parent",67,56.2938717801503
"0900168310","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900168310","2012-2016","Total Living with Two Parents",668,120.208152801713
"0900168310","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900173070","2012-2016","Total Children",26128,951
"0900173070","2012-2016","Total Living with One Parent",7550,814.6612793057
"0900173070","2012-2016","Total Living with One Parent, Not in Work Force",703,249.363188943356
"0900173070","2012-2016","Total Living with Two Parents",18578,1014.11044763379
"0900173070","2012-2016","Total Living with Two Parents, Neither in Work Force",14,36.2353418639869
"0900174190","2012-2016","Total Children",9378,464
"0900174190","2012-2016","Total Living with One Parent",3106,439.956816062668
"0900174190","2012-2016","Total Living with One Parent, Not in Work Force",437,154.240072614091
"0900174190","2012-2016","Total Living with Two Parents",6272,530.212221662232
"0900174190","2012-2016","Total Living with Two Parents, Neither in Work Force",102,108.747413762351
"0900177200","2012-2016","Total Children",8910,351
"0900177200","2012-2016","Total Living with One Parent",1348,286.295302092088
"0900177200","2012-2016","Total Living with One Parent, Not in Work Force",110,101.607086367044
"0900177200","2012-2016","Total Living with Two Parents",7562,534.050559404257
"0900177200","2012-2016","Total Living with Two Parents, Neither in Work Force",0,35.3553390593274
"0900183430","2012-2016","Total Children",3228,177
"0900183430","2012-2016","Total Living with One Parent",249,106.737996983267
"0900183430","2012-2016","Total Living with One Parent, Not in Work Force",57,56.5597029695171
"0900183430","2012-2016","Total Living with Two Parents",2979,255.665797477879
"0900183430","2012-2016","Total Living with Two Parents, Neither in Work Force",10,24.2074368738204
"0900183500","2012-2016","Total Children",7698,313
"0900183500","2012-2016","Total Living with One Parent",1175,256.253780459918
"0900183500","2012-2016","Total Living with One Parent, Not in Work Force",151,92.0108689231875
"0900183500","2012-2016","Total Living with Two Parents",6523,476.689626486669
"0900183500","2012-2016","Total Living with Two Parents, Neither in Work Force",108,73.824115301167
"0900186370","2012-2016","Total Children",5575,268
"0900186370","2012-2016","Total Living with One Parent",507,136.565002837477
"0900186370","2012-2016","Total Living with One Parent, Not in Work Force",63,46.7653718043597
"0900186370","2012-2016","Total Living with Two Parents",5068,377.228047737705
"0900186370","2012-2016","Total Living with Two Parents, Neither in Work Force",48,47.0106370941726
"0900302060","2012-2016","Total Children",4314,216
"0900302060","2012-2016","Total Living with One Parent",414,154.155765380345
"0900302060","2012-2016","Total Living with One Parent, Not in Work Force",43,52.5737577123797
"0900302060","2012-2016","Total Living with Two Parents",3900,378.308075515181
"0900302060","2012-2016","Total Living with Two Parents, Neither in Work Force",63,74.4647567645259
"0900304300","2012-2016","Total Children",4248,270
"0900304300","2012-2016","Total Living with One Parent",918,312.272317056764
"0900304300","2012-2016","Total Living with One Parent, Not in Work Force",105,119.503138034112
"0900304300","2012-2016","Total Living with Two Parents",3330,375.618157175608
"0900304300","2012-2016","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900305910","2012-2016","Total Children",2577,266
"0900305910","2012-2016","Total Living with One Parent",1069,261.726956960876
"0900305910","2012-2016","Total Living with One Parent, Not in Work Force",44,82.3468275041607
"0900305910","2012-2016","Total Living with Two Parents",1508,293.470611816584
"0900305910","2012-2016","Total Living with Two Parents, Neither in Work Force",56,68.0294054067798
"0900308490","2012-2016","Total Children",11579,558
"0900308490","2012-2016","Total Living with One Parent",3840,531.661546474823
"0900308490","2012-2016","Total Living with One Parent, Not in Work Force",589,240.295651229896
"0900308490","2012-2016","Total Living with Two Parents",7739,622.675678021874
"0900308490","2012-2016","Total Living with Two Parents, Neither in Work Force",291,181.60396471443
"0900310100","2012-2016","Total Children",2280,129
"0900310100","2012-2016","Total Living with One Parent",380,151.60804727982
"0900310100","2012-2016","Total Living with One Parent, Not in Work Force",35,38.2361085886103
"0900310100","2012-2016","Total Living with Two Parents",1900,189.446562386336
"0900310100","2012-2016","Total Living with Two Parents, Neither in Work Force",15,31.0644491340181
"0900312270","2012-2016","Total Children",2206,185
"0900312270","2012-2016","Total Living with One Parent",442,208.734280845289
"0900312270","2012-2016","Total Living with One Parent, Not in Work Force",22,47.3180726572839
"0900312270","2012-2016","Total Living with Two Parents",1764,263.821909628446
"0900312270","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900322070","2012-2016","Total Children",1275,109
"0900322070","2012-2016","Total Living with One Parent",262,150.658554353877
"0900322070","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900322070","2012-2016","Total Living with Two Parents",1013,178.530109505372
"0900322070","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900322630","2012-2016","Total Children",10510,616
"0900322630","2012-2016","Total Living with One Parent",5673,667.083952737585
"0900322630","2012-2016","Total Living with One Parent, Not in Work Force",660,273.358738656733
"0900322630","2012-2016","Total Living with Two Parents",4837,598.374464695812
"0900322630","2012-2016","Total Living with Two Parents, Neither in Work Force",48,94.2549733435854
"0900324800","2012-2016","Total Children",2004,467
"0900324800","2012-2016","Total Living with One Parent",899,404.042077016738
"0900324800","2012-2016","Total Living with One Parent, Not in Work Force",0,38
"0900324800","2012-2016","Total Living with Two Parents",1105,274.570573805716
"0900324800","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900325990","2012-2016","Total Children",7847,424
"0900325990","2012-2016","Total Living with One Parent",2701,439.693074769208
"0900325990","2012-2016","Total Living with One Parent, Not in Work Force",116,69.5772951471958
"0900325990","2012-2016","Total Living with Two Parents",5146,465.67907404134
"0900325990","2012-2016","Total Living with Two Parents, Neither in Work Force",55,42.6380112106557
"0900327600","2012-2016","Total Children",5256,279
"0900327600","2012-2016","Total Living with One Parent",824,189.789356919718
"0900327600","2012-2016","Total Living with One Parent, Not in Work Force",82,58.3780780773057
"0900327600","2012-2016","Total Living with Two Parents",4432,327.409529488682
"0900327600","2012-2016","Total Living with Two Parents, Neither in Work Force",16,28.4253408071038
"0900331240","2012-2016","Total Children",8232,293
"0900331240","2012-2016","Total Living with One Parent",1548,307.143289036241
"0900331240","2012-2016","Total Living with One Parent, Not in Work Force",61,65.8938540381423
"0900331240","2012-2016","Total Living with Two Parents",6684,376.872657538326
"0900331240","2012-2016","Total Living with Two Parents, Neither in Work Force",18,38.2883794381533
"0900332640","2012-2016","Total Children",2551,161
"0900332640","2012-2016","Total Living with One Parent",238,109.772492000501
"0900332640","2012-2016","Total Living with One Parent, Not in Work Force",43,47.8748368143433
"0900332640","2012-2016","Total Living with Two Parents",2313,262.383307395878
"0900332640","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900337070","2012-2016","Total Children",28832,977
"0900337070","2012-2016","Total Living with One Parent",21244,962.688942493888
"0900337070","2012-2016","Total Living with One Parent, Not in Work Force",4339,553.17537906165
"0900337070","2012-2016","Total Living with Two Parents",7588,720.586566624719
"0900337070","2012-2016","Total Living with Two Parents, Neither in Work Force",114,68.4105255059483
"0900337140","2012-2016","Total Children",401,59
"0900337140","2012-2016","Total Living with One Parent",91,45.18849411078
"0900337140","2012-2016","Total Living with One Parent, Not in Work Force",6,21.9317121994613
"0900337140","2012-2016","Total Living with Two Parents",310,57.706152185014
"0900337140","2012-2016","Total Living with Two Parents, Neither in Work Force",14,12.0830459735946
"0900344700","2012-2016","Total Children",12568,661
"0900344700","2012-2016","Total Living with One Parent",5151,567.069660623807
"0900344700","2012-2016","Total Living with One Parent, Not in Work Force",828,389.733242102852
"0900344700","2012-2016","Total Living with Two Parents",7417,619.838688692469
"0900344700","2012-2016","Total Living with Two Parents, Neither in Work Force",82,124.197423483742
"0900345820","2012-2016","Total Children",1446,164
"0900345820","2012-2016","Total Living with One Parent",254,127.581346598944
"0900345820","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900345820","2012-2016","Total Living with Two Parents",1192,263.897707454991
"0900345820","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900350440","2012-2016","Total Children",15887,783
"0900350440","2012-2016","Total Living with One Parent",9461,857.853717133638
"0900350440","2012-2016","Total Living with One Parent, Not in Work Force",2483,460.302074729193
"0900350440","2012-2016","Total Living with Two Parents",6426,670.853933431116
"0900350440","2012-2016","Total Living with Two Parents, Neither in Work Force",112,86.9540108333135
"0900352140","2012-2016","Total Children",5535,304
"0900352140","2012-2016","Total Living with One Parent",1242,253.001976276866
"0900352140","2012-2016","Total Living with One Parent, Not in Work Force",108,82.8854631404084
"0900352140","2012-2016","Total Living with Two Parents",4293,452.382581450701
"0900352140","2012-2016","Total Living with Two Parents, Neither in Work Force",46,48.0208288141719
"0900360120","2012-2016","Total Children",3448,264
"0900360120","2012-2016","Total Living with One Parent",1271,382.531044491816
"0900360120","2012-2016","Total Living with One Parent, Not in Work Force",164,163.101195581148
"0900360120","2012-2016","Total Living with Two Parents",2177,348.173807171074
"0900360120","2012-2016","Total Living with Two Parents, Neither in Work Force",86,106.320270880016
"0900365370","2012-2016","Total Children",3475,298
"0900365370","2012-2016","Total Living with One Parent",1151,393.235298517313
"0900365370","2012-2016","Total Living with One Parent, Not in Work Force",35,64.9538297562199
"0900365370","2012-2016","Total Living with Two Parents",2324,380.006578890419
"0900365370","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900368940","2012-2016","Total Children",5802,266
"0900368940","2012-2016","Total Living with One Parent",613,189.718212093621
"0900368940","2012-2016","Total Living with One Parent, Not in Work Force",27,43.0348695827
"0900368940","2012-2016","Total Living with Two Parents",5189,381.083980245825
"0900368940","2012-2016","Total Living with Two Parents, Neither in Work Force",22,42.190046219458
"0900370550","2012-2016","Total Children",9007,344
"0900370550","2012-2016","Total Living with One Parent",1760,357.240815137352
"0900370550","2012-2016","Total Living with One Parent, Not in Work Force",111,85.7671265695663
"0900370550","2012-2016","Total Living with Two Parents",7247,579.801690235549
"0900370550","2012-2016","Total Living with Two Parents, Neither in Work Force",19,32.0156211871642
"0900371390","2012-2016","Total Children",5536,235
"0900371390","2012-2016","Total Living with One Parent",768,208.830074462468
"0900371390","2012-2016","Total Living with One Parent, Not in Work Force",12,42.142615011411
"0900371390","2012-2016","Total Living with Two Parents",4768,369.228926277452
"0900371390","2012-2016","Total Living with Two Parents, Neither in Work Force",13,29.0688837074973
"0900374540","2012-2016","Total Children",2940,188
"0900374540","2012-2016","Total Living with One Parent",734,284.154887341393
"0900374540","2012-2016","Total Living with One Parent, Not in Work Force",22,47.3180726572839
"0900374540","2012-2016","Total Living with Two Parents",2206,344.569296368669
"0900374540","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900382590","2012-2016","Total Children",13841,506
"0900382590","2012-2016","Total Living with One Parent",2953,417.694864703889
"0900382590","2012-2016","Total Living with One Parent, Not in Work Force",298,184.219977201171
"0900382590","2012-2016","Total Living with Two Parents",10888,561.601282049819
"0900382590","2012-2016","Total Living with Two Parents, Neither in Work Force",13,31.7647603485372
"0900384900","2012-2016","Total Children",5033,234
"0900384900","2012-2016","Total Living with One Parent",1158,244.675295034051
"0900384900","2012-2016","Total Living with One Parent, Not in Work Force",54,60.5061980296234
"0900384900","2012-2016","Total Living with Two Parents",3875,352.495390040778
"0900384900","2012-2016","Total Living with Two Parents, Neither in Work Force",6,23.7697286480094
"0900387000","2012-2016","Total Children",5725,322
"0900387000","2012-2016","Total Living with One Parent",1832,390.877218573813
"0900387000","2012-2016","Total Living with One Parent, Not in Work Force",109,76.9350375316734
"0900387000","2012-2016","Total Living with Two Parents",3893,462.449997297005
"0900387000","2012-2016","Total Living with Two Parents, Neither in Work Force",9,26.0768096208106
"0900387070","2012-2016","Total Children",2111,139
"0900387070","2012-2016","Total Living with One Parent",427,143.178210632764
"0900387070","2012-2016","Total Living with One Parent, Not in Work Force",82,78.4984076271614
"0900387070","2012-2016","Total Living with Two Parents",1684,268.882874129239
"0900387070","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900502760","2012-2016","Total Children",808,143
"0900502760","2012-2016","Total Living with One Parent",149,82.1522975941635
"0900502760","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900502760","2012-2016","Total Living with Two Parents",659,155.193427695892
"0900502760","2012-2016","Total Living with Two Parents, Neither in Work Force",11,21.6333076527839
"0900504930","2012-2016","Total Children",697,94
"0900504930","2012-2016","Total Living with One Parent",163,80.6101730552664
"0900504930","2012-2016","Total Living with One Parent, Not in Work Force",16,32.5115364140177
"0900504930","2012-2016","Total Living with Two Parents",534,123.00406497348
"0900504930","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900508210","2012-2016","Total Children",215,43
"0900508210","2012-2016","Total Living with One Parent",39,40.8044115262063
"0900508210","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900508210","2012-2016","Total Living with Two Parents",176,34.4818792991333
"0900508210","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900510940","2012-2016","Total Children",182,55
"0900510940","2012-2016","Total Living with One Parent",24,15.556349186104
"0900510940","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900510940","2012-2016","Total Living with Two Parents",158,54.3783044972901
"0900510940","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900516050","2012-2016","Total Children",262,65
"0900516050","2012-2016","Total Living with One Parent",34,27.2029410174709
"0900516050","2012-2016","Total Living with One Parent, Not in Work Force",19,32.5115364140177
"0900516050","2012-2016","Total Living with Two Parents",228,61.2698947281616
"0900516050","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900517240","2012-2016","Total Children",265,83
"0900517240","2012-2016","Total Living with One Parent",52,37.3363094051889
"0900517240","2012-2016","Total Living with One Parent, Not in Work Force",4,21.3775583264319
"0900517240","2012-2016","Total Living with Two Parents",213,63.8905313798532
"0900517240","2012-2016","Total Living with Two Parents, Neither in Work Force",7,13.8924439894498
"0900532290","2012-2016","Total Children",473,93
"0900532290","2012-2016","Total Living with One Parent",0,16.9705627484771
"0900532290","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900532290","2012-2016","Total Living with Two Parents",473,112.729765368336
"0900532290","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900537280","2012-2016","Total Children",1103,153
"0900537280","2012-2016","Total Living with One Parent",99,52.6307894677631
"0900537280","2012-2016","Total Living with One Parent, Not in Work Force",16,34.5108678534748
"0900537280","2012-2016","Total Living with Two Parents",1004,170.815690145841
"0900537280","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900540290","2012-2016","Total Children",539,139
"0900540290","2012-2016","Total Living with One Parent",48,38.2753184180093
"0900540290","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900540290","2012-2016","Total Living with Two Parents",491,167.58579892103
"0900540290","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900543370","2012-2016","Total Children",1542,182
"0900543370","2012-2016","Total Living with One Parent",294,141.908421173657
"0900543370","2012-2016","Total Living with One Parent, Not in Work Force",15,36.1662826400502
"0900543370","2012-2016","Total Living with Two Parents",1248,194.139125371472
"0900543370","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900549460","2012-2016","Total Children",433,66
"0900549460","2012-2016","Total Living with One Parent",34,19.723082923316
"0900549460","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900549460","2012-2016","Total Living with Two Parents",399,88.4590300647707
"0900549460","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900551350","2012-2016","Total Children",1711,237
"0900551350","2012-2016","Total Living with One Parent",232,121.69634341261
"0900551350","2012-2016","Total Living with One Parent, Not in Work Force",0,34
"0900551350","2012-2016","Total Living with Two Parents",1479,285.448769484123
"0900551350","2012-2016","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"0900552630","2012-2016","Total Children",5429,279
"0900552630","2012-2016","Total Living with One Parent",938,265.68590478232
"0900552630","2012-2016","Total Living with One Parent, Not in Work Force",66,54.9363267792815
"0900552630","2012-2016","Total Living with Two Parents",4491,358.834223562915
"0900552630","2012-2016","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900553470","2012-2016","Total Children",238,69
"0900553470","2012-2016","Total Living with One Parent",67,37.5366487582469
"0900553470","2012-2016","Total Living with One Parent, Not in Work Force",3,21.1660104885167
"0900553470","2012-2016","Total Living with Two Parents",171,62.5139984323511
"0900553470","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900554030","2012-2016","Total Children",589,85
"0900554030","2012-2016","Total Living with One Parent",210,86.9540108333135
"0900554030","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900554030","2012-2016","Total Living with Two Parents",379,95.1314879522022
"0900554030","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900560750","2012-2016","Total Children",2248,188
"0900560750","2012-2016","Total Living with One Parent",615,198.600100704909
"0900560750","2012-2016","Total Living with One Parent, Not in Work Force",21,37.1214223865412
"0900560750","2012-2016","Total Living with Two Parents",1633,233.323809329438
"0900560750","2012-2016","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900565930","2012-2016","Total Children",412,74
"0900565930","2012-2016","Total Living with One Parent",0,16.9705627484771
"0900565930","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900565930","2012-2016","Total Living with Two Parents",412,76.4787552199956
"0900565930","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900566420","2012-2016","Total Children",533,142
"0900566420","2012-2016","Total Living with One Parent",117,67.4166151627327
"0900566420","2012-2016","Total Living with One Parent, Not in Work Force",16,34.0734500748016
"0900566420","2012-2016","Total Living with Two Parents",416,141.400141442645
"0900566420","2012-2016","Total Living with Two Parents, Neither in Work Force",9,19.2093727122985
"0900567960","2012-2016","Total Children",235,126
"0900567960","2012-2016","Total Living with One Parent",80,90.7964757025293
"0900567960","2012-2016","Total Living with One Parent, Not in Work Force",0,24
"0900567960","2012-2016","Total Living with Two Parents",155,85.2349693494401
"0900567960","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900575730","2012-2016","Total Children",1515,160
"0900575730","2012-2016","Total Living with One Parent",401,169.779268463496
"0900575730","2012-2016","Total Living with One Parent, Not in Work Force",110,120.648249054845
"0900575730","2012-2016","Total Living with Two Parents",1114,207.646333943077
"0900575730","2012-2016","Total Living with Two Parents, Neither in Work Force",24,40.7185461430047
"0900576570","2012-2016","Total Children",6498,361
"0900576570","2012-2016","Total Living with One Parent",2460,327.262891266333
"0900576570","2012-2016","Total Living with One Parent, Not in Work Force",387,131.278330275792
"0900576570","2012-2016","Total Living with Two Parents",4038,384.610192272644
"0900576570","2012-2016","Total Living with Two Parents, Neither in Work Force",0,35.3553390593274
"0900579510","2012-2016","Total Children",273,48
"0900579510","2012-2016","Total Living with One Parent",28,25.0599281722833
"0900579510","2012-2016","Total Living with One Parent, Not in Work Force",3,21.1660104885167
"0900579510","2012-2016","Total Living with Two Parents",245,47.7598157450382
"0900579510","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900579720","2012-2016","Total Children",425,123
"0900579720","2012-2016","Total Living with One Parent",65,38.9101529166874
"0900579720","2012-2016","Total Living with One Parent, Not in Work Force",18,26.7020598456374
"0900579720","2012-2016","Total Living with Two Parents",360,106.531685427388
"0900579720","2012-2016","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900580490","2012-2016","Total Children",4514,373
